"","ego","q1.profession.df.vq","q2a.currently.working.vq","q2b.how.long.work.vq","q2c.when.leave.work.vq","q3.rate.econ.conditions.vq","q4.rate.env.conditions.vq","q5.rate.comm.agencies.vq","q6a.attended.GADNR.mtg.vq","q6b.GADNR.mtg.topic.vq","q6c.GADNR.why.not.mtg.vq","q7a.primary.dock.vq","q7b.active.dock.relationship.vq","q7c.time.worked.w.dock.vq","q7d.ended.dock.relationship.vq","q8a.observed.decline.harvest.vq","q8b.harvest.decline.location.vq","q8c.still.fish.decline.locations.vq","q9a.harvest.multiple.sp.vq","q9b.sell.to.single.dock.vq","q9c.earned.per.species.vq","q9d.why.sell.multiple.docks.vq","q10.docks.difficulty.selling.vq","q11a.change.docks.vq","q11b.change.docks.explain.vq","q11c.change.docks.freq.vq","q12a.decline.in.catch.vq","q12b.explain.decline.vq","q12c.which.spp.decline.vq","q12d.severity.decline.vq","q13a.decline.affect.business.vq","q13b.severity.decline.business.vq","q14.agency.mtg.attend.vq","q15.folks.contact.gvmt.vq","q15b.name.folks.contact.gvmt.vq","q15c.name.agencies.contacted.vq","q15d.reasons.agency.contact.vq","q16a.attendance.mtg.beneficial.vq","q16b.attendance.mtg.expl.vq","q17.agencies.helpful.vq","q18.agencies.not.helpful.vq","q19.probs.agencies.could.solve.vq","q20a.should.orgs.do.more.vq","q20b.how.should.orgs.help.vq","q21.reg.change.open.water.May15.vq","q22.reg.change.close.water.Dec31.vq","q23.reg.change.open.sounds.vq","q24.blackgill.change.fishing.vq","q25a.blackgill.concern.dockmates.vq","q25b.blackgill.concern.dockmates.strength.vq","q26a.seen.blackgill.vq","q26b.where.seen.blackgill.vq"
"166","West, Terrence","Commercial crabbers or dealer","No","N/A","Open Response","Very good","Not pressing","Fair","No","N/A","Open Response","Savannah Dock","No","N/A","21","No","N/A","N/A","Yes","Yes","Open response","N/A","No","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Not severe","Yes","Very severe","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Very unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither significant or insignificant","Yes","Not very strong","Yes","Between St. Simons Island and Jekyll Island"
"167","Moncallo, Jaime","Commercial fisherman","No","N/A","Open Response","Very Poor","Very pressing","Fair","Yes","Open Response","N/A","St. Simons Dock","No","N/A","23","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","Yes","Not severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Southern Shrimp Alliance","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Very likely","Very insignificantly","No","N/A","Yes","Between Sapelo Island and Savannah"
"168","Sanchez, Anna","Shellfish gatherer","Yes","16","N/A","Good","Very pressing","Good","No","N/A","Open Response","Savannah Dock","No","N/A","16","No","N/A","N/A","Yes","Yes","Open response","N/A","No","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Likely","Very likely","Very unlikely","Neither significant or insignificant","Yes","Very strong","Yes","Between St. Simons Island and Sapelo Island"
"169","Dearing, Raeven","Commercial fisherman","Yes","34","N/A","Very Poor","Very pressing","Fair","No","N/A","Open Response","Brunswick Dock","Yes","14","N/A","Yes","South of Jekyll Island","Yes","Yes","No","N/A","Open response","No","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Very not severe","Yes","Severe","Southern Shrimp Alliance","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Likely","Unlikely","Neither significant or insignificant","Yes","Not very strong","No","N/A"
"170","Cuellar Pacheco, Adilene","Commercial fisherman","No","N/A","Open Response","Good","Very pressing","Poor","No","N/A","Open Response","Brunswick Dock","Yes","12","N/A","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Neither","Yes","Neither","Other (please insert)","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","Yes","Benefit from attendance explained","Southern Shrimp Alliance","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very likely","Unlikely","Very likely","Very insignificantly","No","N/A","No","N/A"
"171","Martin, Cameron","Commercial fisherman","No","N/A","Open Response","Poor","Moderately pressing","Very good","Yes","Open Response","N/A","South GA Dock","No","N/A","20","No","N/A","N/A","Yes","No","N/A","Open response","Yes","No","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Not severe","Yes","Very severe","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","No","N/A","Other (please insert)","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very likely","Likely","Likely","Neither significant or insignificant","Yes","Very strong","Yes","Between St. Simons Island and Jekyll Island"
"172","Haqq Anderson, Tehlia","Commercial crabbers or dealer","Yes","30","N/A","Good","Not pressing","Poor","Yes","Open Response","N/A","St. Simons Dock","Yes","8","N/A","Yes","North of Savannah","No","Yes","Yes","Open response","N/A","No","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Severe","Yes","Not severe","Georgia Sea Grant","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very likely","Very unlikely","Very significantly","No","N/A","No","N/A"
"173","Becerra, Cecilia","Commercial crabbers or dealer","Yes","7","N/A","Very Poor","Moderately pressing","Very Poor","No","N/A","Open Response","South GA Dock","Yes","0","N/A","Yes","Between St. Simons Island and Jekyll Island","Yes","Yes","No","N/A","Open response","Yes","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","No","N/A","Georgia Sea Grant","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Very likely","Neither likely nor unlikely","Likely","Very insignificantly","No","N/A","No","N/A"
"174","Cabral, Travis","Commercial fisherman","No","N/A","Open Response","Very Poor","Not pressing","Fair","Yes","Open Response","N/A","Savannah Dock","No","N/A","12","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Likely","Neither likely nor unlikely","Insignificantly","No","N/A","Yes","North of Savannah"
"175","Thomas, Aimis","Dock and fish house","No","N/A","Open Response","Very good","Slightly pressing","Good","Yes","Open Response","N/A","St. Simons Dock","Yes","16","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Likely","Unlikely","Very insignificantly","No","N/A","Yes","South of Jekyll Island"
"176","Lange, Jorge","Commercial fisherman","No","N/A","Open Response","Very Poor","Moderately pressing","Very good","Yes","Open Response","N/A","Derrien Dock","No","N/A","9","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Very severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Very likely","Very unlikely","Very significantly","Yes","Somewhat strong","No","N/A"
"177","Smith, Kylee","Shellfish gatherer","Yes","35","N/A","Fair","Pressing","Very good","No","N/A","Open Response","Brunswick Dock","No","N/A","1","Yes","North of Savannah","Yes","Yes","No","N/A","Open response","Yes","No","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Other (please insert)","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Likely","Significantly","No","N/A","No","N/A"
"178","Perdue, Jeffrey","Dock and fish house","Yes","0","N/A","Good","Not pressing","Very Poor","Yes","Open Response","N/A","Jekyll Dock","Yes","10","N/A","No","N/A","N/A","Yes","Yes","Open response","N/A","No","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very severe","Yes","Very not severe","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Likely","Very likely","Unlikely","Very significantly","Yes","Not very strong","No","N/A"
"179","Alvarez, Chantal","Dock and fish house","No","N/A","Open Response","Very Poor","Very pressing","Fair","Yes","Open Response","N/A","Savannah Dock","Yes","1","N/A","No","N/A","N/A","Yes","No","N/A","Open response","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Very not severe","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Very likely","Very unlikely","Very unlikely","Neither significant or insignificant","No","N/A","No","N/A"
"180","Zink, Samantha","Commercial fisherman","Yes","12","N/A","Good","Slightly pressing","Very Poor","No","N/A","Open Response","St. Simons Dock","No","N/A","25","Yes","Between Sapelo Island and Savannah","No","No","N/A","N/A","N/A","No","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Neither","Other (please insert)","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Unlikely","Significantly","No","N/A","No","N/A"
"181","Reynolds, Hana","Dock and fish house","No","N/A","Open Response","Good","Slightly pressing","Very good","No","N/A","Open Response","Jekyll Dock","Yes","4","N/A","No","N/A","N/A","Yes","No","N/A","Open response","No","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Very severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Unlikely","Insignificantly","Yes","Not very strong","No","N/A"
"182","Martinez, Marco","Dock and fish house","No","N/A","Open Response","Poor","Not pressing","Fair","No","N/A","Open Response","Piedmont Dock","No","N/A","7","Yes","North of Savannah","No","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Unlikely","Likely","Significantly","No","N/A","No","N/A"
"183","O'Donnell, Tyler","Commercial crabbers or dealer","Yes","2","N/A","Very good","Slightly pressing","Poor","No","N/A","Open Response","Savannah Dock","No","N/A","11","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very severe","Yes","Very not severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Very unlikely","Very unlikely","Significantly","Yes","Very strong","No","N/A"
"184","Shields, Audreon","Commercial crabbers or dealer","Yes","8","N/A","Good","Very pressing","Very Poor","Yes","Open Response","N/A","Brunswick Dock","No","N/A","18","No","N/A","N/A","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Very not severe","Yes","Severe","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Unlikely","Significantly","No","N/A","No","N/A"
"185","Delgado, Tania","Commercial fisherman","No","N/A","Open Response","Very good","Very pressing","Very good","No","N/A","Open Response","Derrien Dock","Yes","2","N/A","Yes","Between Sapelo Island and Savannah","Yes","No","N/A","N/A","N/A","No","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","Yes","Neither","Other (please insert)","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Likely","Unlikely","Insignificantly","Yes","Somewhat strong","No","N/A"
"186","Kyger, Casey","Shellfish gatherer","No","N/A","Open Response","Good","Very pressing","Good","No","N/A","Open Response","South GA Dock","No","N/A","19","Yes","Between St. Simons Island and Sapelo Island","No","No","N/A","N/A","N/A","No","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Very likely","Very unlikely","Very significantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"187","Stevenson, Darius","Commercial crabbers or dealer","No","N/A","Open Response","Very Poor","Pressing","Fair","No","N/A","Open Response","Derrien Dock","Yes","21","N/A","Yes","North of Savannah","Yes","Yes","No","N/A","Open response","No","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Other (please insert)","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Other (please insert)","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Very likely","Unlikely","Likely","Neither significant or insignificant","Yes","Not very strong","Yes","Between Sapelo Island and Savannah"
"188","Quirova, Victoria","Commercial fisherman","Yes","32","N/A","Very good","Very pressing","Very Poor","No","N/A","Open Response","South GA Dock","No","N/A","13","Yes","Between St. Simons Island and Jekyll Island","No","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Very likely","Very unlikely","Very significantly","No","N/A","No","N/A"
"189","Gibson, Haley","Commercial fisherman","No","N/A","Open Response","Very good","Slightly pressing","Good","Yes","Open Response","N/A","St. Simons Dock","No","N/A","8","Yes","South of Jekyll Island","Yes","No","N/A","N/A","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Very not severe","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Unlikely","Unlikely","Very significantly","No","N/A","No","N/A"
"190","Norwood, Devon","Commercial crabbers or dealer","No","N/A","Open Response","Very good","Not pressing","Poor","Yes","Open Response","N/A","Savannah Dock","No","N/A","22","Yes","Between Sapelo Island and Savannah","No","Yes","Yes","Open response","N/A","No","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Neither","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Likely","Very likely","Very significantly","Yes","Not very strong","Yes","South of Jekyll Island"
"191","Castaneda, Robert","Commercial fisherman","Yes","36","N/A","Very good","Very pressing","Good","No","N/A","Open Response","Piedmont Dock","No","N/A","4","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Not severe","Yes","Very severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","No","N/A","Other (please insert)","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Very likely","Very unlikely","Neither significant or insignificant","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"192","Wampler, Aaron","Commercial fisherman","Yes","1","N/A","Fair","Slightly pressing","Fair","Yes","Open Response","N/A","Jekyll Dock","Yes","18","N/A","No","N/A","N/A","Yes","Yes","Open response","N/A","No","No","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Severe","Yes","Not severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very likely","Likely","Very likely","Very significantly","Yes","Very strong","No","N/A"
"193","Rice, Arthur","Commercial fisherman","Yes","3","N/A","Fair","Not pressing","Very Poor","Yes","Open Response","N/A","South GA Dock","No","N/A","23","Yes","Between St. Simons Island and Jekyll Island","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","Yes","Very not severe","Georgia Sea Grant","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very likely","Likely","Unlikely","Significantly","Yes","Not very strong","Yes","Between St. Simons Island and Sapelo Island"
"194","Varela, Abel","Commercial crabbers or dealer","No","N/A","Open Response","Good","Very pressing","Poor","No","N/A","Open Response","South GA Dock","Yes","6","N/A","Yes","South of Jekyll Island","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Very not severe","Yes","Severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very likely","Unlikely","Unlikely","Very significantly","No","N/A","Yes","North of Savannah"
"195","Gregory, Eliza","Commercial fisherman","Yes","37","N/A","Very good","Slightly pressing","Fair","Yes","Open Response","N/A","Derrien Dock","Yes","14","N/A","No","N/A","N/A","Yes","No","N/A","Open response","No","No","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","Yes","Neither","Georgia Shrimping Association (Wild Georgia Shrimp)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Likely","Unlikely","Neither significant or insignificant","No","N/A","Yes","South of Jekyll Island"
"196","Galassini, Darin","Commercial crabbers or dealer","Yes","17","N/A","Very good","Moderately pressing","Fair","Yes","Open Response","N/A","Piedmont Dock","Yes","12","N/A","No","N/A","N/A","Yes","Yes","Open response","N/A","No","No","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","No","N/A","Other (please insert)","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Unlikely","Likely","Insignificantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"197","Morales, Jose","Dock and fish house","No","N/A","Open Response","Poor","Moderately pressing","Fair","Yes","Open Response","N/A","South GA Dock","No","N/A","20","No","N/A","N/A","No","N/A","N/A","N/A","No","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Not severe","Other (please insert)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Very likely","Very likely","Neither likely nor unlikely","Significantly","No","N/A","No","N/A"
"198","Stafford, Connor","Commercial fisherman","Yes","28","N/A","Very good","Slightly pressing","Fair","No","N/A","Open Response","St. Simons Dock","Yes","8","N/A","Yes","Between St. Simons Island and Jekyll Island","No","No","N/A","N/A","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Very not severe","Georgia Shrimping Association (Wild Georgia Shrimp)","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Very likely","Very unlikely","Significantly","No","N/A","Yes","Between St. Simons Island and Sapelo Island"
"199","Malone, John","Shellfish gatherer","No","N/A","Open Response","Fair","Very pressing","Very Poor","No","N/A","Open Response","South GA Dock","Yes","0","N/A","No","N/A","N/A","No","N/A","N/A","N/A","No","No","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Very not severe","Yes","Severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very likely","Very likely","Very significantly","Yes","Not very strong","No","N/A"
"200","Morales, David","Dock and fish house","Yes","31","N/A","Very good","Very pressing","Very good","Yes","Open Response","N/A","Jekyll Dock","Yes","7","N/A","Yes","Between Sapelo Island and Savannah","No","No","N/A","N/A","N/A","Yes","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Georgia Sea Grant","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Likely","Very unlikely","Very likely","Neither significant or insignificant","Yes","Somewhat strong","Yes","South of Jekyll Island"
"201","Cheung, Kiana","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"202","Chen, Selina","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"203","Patterson, Courtney","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"204","Marynowski, Xavier","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"205","Mcconnaughhay, Robert","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"206","Pham, Hideki","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"207","Chen, Matthew","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"208","Tran, Quinn","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"209","Zeng, Tyler","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"210","Ha, Nam","Out-Network","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
